file_path,source,extension,size_mb,candidate_type,keyword_hits,read_status,columns_or_keys_preview,first_row_preview,priority_score
/home/mdsubhan01/ISPY2-3DGCNN/reports/figures/51_phase3d_volume_proxy_cm3.png,local_scan,.png,0.0448,other_support_candidate,volume,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/js_composer.min_2b4914f6ac.css,downloaded_or_extracted_support,.css,0.0379,other_support_candidate,ser,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/table_views/seg_series_metadata.md,local_scan,.md,0.0272,other_support_candidate,ser,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/ACRIN-6698-ISPY2-Shared-Private-Tag-Data-Dict_93d5b05fac.xlsx,downloaded_or_extracted_support,.xlsx,0.0188,other_support_candidate,,read_ok,DICOM Tag;Name;Description;VR (VM) *; ,"(0113,""MI GE GNC ID STRING"",01);mrsc_imageGnc_dwiVersion;mrsc_imageGnc_dwiVersion;IS;",6
/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/ACRIN_6698_ISPY2_Shared_Private_Tag_Data_Dict_910ee20fe1.xlsx,downloaded_or_extracted_support,.xlsx,0.0188,other_support_candidate,,read_ok,DICOM Tag;Name;Description;VR (VM) *; ,"(0113,""MI GE GNC ID STRING"",01);mrsc_imageGnc_dwiVersion;mrsc_imageGnc_dwiVersion;IS;",6
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/ispy2_patient_summary.csv,local_scan,.csv,0.0187,other_support_candidate,,read_ok,patient_folder;n_studies;n_series;n_dicom;has_mr;has_seg,ISPY2-100899;4;64;7322;1;1,6
/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/cropped-TCIA-Favicon-Transparent-180x180_1ccac61c30.png,downloaded_or_extracted_support,.png,0.0171,other_support_candidate,pe,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/cropped-TCIA-Favicon-Transparent-192x192_3728a3fe19.png,downloaded_or_extracted_support,.png,0.0161,other_support_candidate,pe,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase4a_label_source_inventory.csv,local_scan,.csv,0.0091,other_support_candidate,,read_ok,file_path;file_name;size_mb;source_root;read_status;n_columns_read;matched_label_like_columns;all_columns_preview;label_signal_score,/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase;phase3d_verified_biomarker_table.csv;0.0497;/home/mdsubhan01/ISPY2-3DGCNN;read_csv;25;patient_folder; study_folder; seg_series_uid; matc;patient_folder; study_folder; seg_series_uid; matc;13,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase4b_model_predictions.csv,local_scan,.csv,0.007,other_support_candidate,,read_ok,model;patient_folder;true_label;predicted_probability;predicted_label,LogisticRegression;ISPY2-100899;0;0.4926998749905815;0,6
